Maturity,Price
05/31/21,89.51
06/30/21,89.31
07/31/21,89.1
08/15/21,88.93
08/31/21,88.9
09/30/31,88.7
10/31/21,88.49
11/15/21,88.42
11/30/21,88.28
12/31/21,88.07
02/15/22,87.78
05/15/22,87.2
08/15/22,86.78
11/15/22,86.15
02/15/23,85.43
05/15/23,84.85
08/15/23,84.29
11/15/23,83.69
02/15/24,83.06
05/15/24,82.43
08/15/24,81.85
11/15/24,81.23
02/15/25,80.6
05/15/25,80.06
08/15/25,79.52
11/15/25,78.85
02/15/26,78.19
05/15/26,77.59
08/15/26,77.03
11/15/26,76.43
02/15/27,75.83
05/15/27,75.31
08/15/27,74.74
11/15/27,74.2
02/15/28,73.59
05/15/28,73.04
08/15/28,72.52
11/15/28,72.02
